% time	cellId	IMSI	RNTI	sinrLinear
0.041	1	1	1	1.76517e+06
0.081	1	1	1	1.76517e+06
0.121	1	1	1	1.76517e+06
0.161	1	1	1	1.76517e+06
0.201	1	1	1	1.76517e+06
0.241	1	1	1	1.76517e+06
0.281	1	1	1	1.76517e+06
0.321	1	1	1	1.76517e+06
0.361	1	1	1	1.76517e+06
0.401	1	1	1	1.76517e+06
0.441	1	1	1	1.76517e+06
0.481	1	1	1	1.76517e+06
0.521	1	1	1	1.76517e+06
0.561	1	1	1	1.76517e+06
0.601	1	1	1	1.76517e+06
0.641	1	1	1	1.76517e+06
0.681	1	1	1	1.76517e+06
0.721	1	1	1	1.76517e+06
0.761	1	1	1	1.76517e+06
0.801	1	1	1	1.76517e+06
0.841	1	1	1	1.76517e+06
0.881	1	1	1	1.76517e+06
0.921	1	1	1	1.76517e+06
0.961	1	1	1	1.76517e+06
1.001	1	1	1	1.76517e+06
1.041	1	1	1	1.76517e+06
1.081	1	1	1	1.76517e+06
1.121	1	1	1	1.76517e+06
1.161	1	1	1	1.76517e+06
1.201	1	1	1	1.76517e+06
1.241	1	1	1	1.76517e+06
1.281	1	1	1	1.76517e+06
1.321	1	1	1	1.76517e+06
1.361	1	1	1	1.76517e+06
1.401	1	1	1	1.76517e+06
1.441	1	1	1	1.76517e+06
1.481	1	1	1	1.76517e+06
1.521	1	1	1	1.76517e+06
1.561	1	1	1	1.76517e+06
1.601	1	1	1	1.76517e+06
1.641	1	1	1	1.76517e+06
1.681	1	1	1	1.76517e+06
1.721	1	1	1	1.76517e+06
1.761	1	1	1	1.76517e+06
1.801	1	1	1	1.76517e+06
1.841	1	1	1	1.76517e+06
1.881	1	1	1	1.76517e+06
1.921	1	1	1	1.76517e+06
1.961	1	1	1	1.76517e+06
2.001	1	1	1	1.76517e+06
2.041	1	1	1	1.76517e+06
2.081	1	1	1	1.76517e+06
2.121	1	1	1	1.76517e+06
2.161	1	1	1	1.76517e+06
2.201	1	1	1	1.76517e+06
2.241	1	1	1	1.76517e+06
2.281	1	1	1	1.76517e+06
2.321	1	1	1	1.76517e+06
2.361	1	1	1	1.76517e+06
2.401	1	1	1	1.76517e+06
2.441	1	1	1	1.76517e+06
2.481	1	1	1	1.76517e+06
2.521	1	1	1	1.76517e+06
2.561	1	1	1	1.76517e+06
2.601	1	1	1	1.76517e+06
2.641	1	1	1	1.76517e+06
2.681	1	1	1	1.76517e+06
2.721	1	1	1	1.76517e+06
2.761	1	1	1	1.76517e+06
2.801	1	1	1	1.76517e+06
2.841	1	1	1	1.76517e+06
2.881	1	1	1	1.76517e+06
2.921	1	1	1	1.76517e+06
2.961	1	1	1	1.76517e+06
3.001	1	1	1	1.76517e+06
3.041	1	1	1	1.76517e+06
3.081	1	1	1	1.76517e+06
3.121	1	1	1	1.76517e+06
3.161	1	1	1	1.76517e+06
3.201	1	1	1	1.76517e+06
3.241	1	1	1	1.76517e+06
3.281	1	1	1	1.76517e+06
3.321	1	1	1	1.76517e+06
3.361	1	1	1	1.76517e+06
3.401	1	1	1	1.76517e+06
3.441	1	1	1	1.76517e+06
3.481	1	1	1	1.76517e+06
3.521	1	1	1	1.76517e+06
3.561	1	1	1	1.76517e+06
3.601	1	1	1	1.76517e+06
3.641	1	1	1	1.76517e+06
3.681	1	1	1	1.76517e+06
3.721	1	1	1	1.76517e+06
3.761	1	1	1	1.76517e+06
3.801	1	1	1	1.76517e+06
3.841	1	1	1	1.76517e+06
3.881	1	1	1	1.76517e+06
3.921	1	1	1	1.76517e+06
3.961	1	1	1	1.76517e+06
4.001	1	1	1	1.76517e+06
4.041	1	1	1	1.76517e+06
4.081	1	1	1	1.76517e+06
4.121	1	1	1	1.76517e+06
4.161	1	1	1	1.76517e+06
4.201	1	1	1	1.76517e+06
4.241	1	1	1	1.76517e+06
4.281	1	1	1	1.76517e+06
4.321	1	1	1	1.76517e+06
4.361	1	1	1	1.76517e+06
4.401	1	1	1	1.76517e+06
4.441	1	1	1	1.76517e+06
4.481	1	1	1	1.76517e+06
4.521	1	1	1	1.76517e+06
4.561	1	1	1	1.76517e+06
4.601	1	1	1	1.76517e+06
4.641	1	1	1	1.76517e+06
4.681	1	1	1	1.76517e+06
4.721	1	1	1	1.76517e+06
4.761	1	1	1	1.76517e+06
4.801	1	1	1	1.76517e+06
4.841	1	1	1	1.76517e+06
4.881	1	1	1	1.76517e+06
4.921	1	1	1	1.76517e+06
4.961	1	1	1	1.76517e+06
5.001	1	1	1	1.76517e+06
5.041	1	1	1	1.76517e+06
5.081	1	1	1	1.76517e+06
5.121	1	1	1	1.76517e+06
5.161	1	1	1	1.76517e+06
5.201	1	1	1	1.76517e+06
5.241	1	1	1	1.76517e+06
5.281	1	1	1	1.76517e+06
5.321	1	1	1	1.76517e+06
5.361	1	1	1	1.76517e+06
5.401	1	1	1	1.76517e+06
5.441	1	1	1	1.76517e+06
5.481	1	1	1	1.76517e+06
5.521	1	1	1	1.76517e+06
5.561	1	1	1	1.76517e+06
5.601	1	1	1	1.76517e+06
5.641	1	1	1	1.76517e+06
5.681	1	1	1	1.76517e+06
5.721	1	1	1	1.76517e+06
5.761	1	1	1	1.76517e+06
5.801	1	1	1	1.76517e+06
5.841	1	1	1	1.76517e+06
5.881	1	1	1	1.76517e+06
5.921	1	1	1	1.76517e+06
5.961	1	1	1	1.76517e+06
6.001	1	1	1	1.76517e+06
6.041	1	1	1	1.76517e+06
6.081	1	1	1	1.76517e+06
6.121	1	1	1	1.76517e+06
6.161	1	1	1	1.76517e+06
6.201	1	1	1	1.76517e+06
6.241	1	1	1	1.76517e+06
6.281	1	1	1	1.76517e+06
6.321	1	1	1	1.76517e+06
6.361	1	1	1	1.76517e+06
6.401	1	1	1	1.76517e+06
6.441	1	1	1	1.76517e+06
6.481	1	1	1	1.76517e+06
6.521	1	1	1	1.76517e+06
6.561	1	1	1	1.76517e+06
6.601	1	1	1	1.76517e+06
6.641	1	1	1	1.76517e+06
6.681	1	1	1	1.76517e+06
6.721	1	1	1	1.76517e+06
6.761	1	1	1	1.76517e+06
6.801	1	1	1	1.76517e+06
6.841	1	1	1	1.76517e+06
6.881	1	1	1	1.76517e+06
6.921	1	1	1	1.76517e+06
6.961	1	1	1	1.76517e+06
7.001	1	1	1	1.76517e+06
7.041	1	1	1	1.76517e+06
7.081	1	1	1	1.76517e+06
7.121	1	1	1	1.76517e+06
7.161	1	1	1	1.76517e+06
7.201	1	1	1	1.76517e+06
7.241	1	1	1	1.76517e+06
7.281	1	1	1	1.76517e+06
7.321	1	1	1	1.76517e+06
7.361	1	1	1	1.76517e+06
7.401	1	1	1	1.76517e+06
7.441	1	1	1	1.76517e+06
7.481	1	1	1	1.76517e+06
7.521	1	1	1	1.76517e+06
7.561	1	1	1	1.76517e+06
7.601	1	1	1	1.76517e+06
7.641	1	1	1	1.76517e+06
7.681	1	1	1	1.76517e+06
7.721	1	1	1	1.76517e+06
7.761	1	1	1	1.76517e+06
7.801	1	1	1	1.76517e+06
7.841	1	1	1	1.76517e+06
7.881	1	1	1	1.76517e+06
7.921	1	1	1	1.76517e+06
7.961	1	1	1	1.76517e+06
8.001	1	1	1	1.76517e+06
8.041	1	1	1	1.76517e+06
8.081	1	1	1	1.76517e+06
8.121	1	1	1	1.76517e+06
8.161	1	1	1	1.76517e+06
8.201	1	1	1	1.76517e+06
8.241	1	1	1	1.76517e+06
8.281	1	1	1	1.76517e+06
8.321	1	1	1	1.76517e+06
8.361	1	1	1	1.76517e+06
8.401	1	1	1	1.76517e+06
8.441	1	1	1	1.76517e+06
8.481	1	1	1	1.76517e+06
8.521	1	1	1	1.76517e+06
8.561	1	1	1	1.76517e+06
8.601	1	1	1	1.76517e+06
8.641	1	1	1	1.76517e+06
8.681	1	1	1	1.76517e+06
8.721	1	1	1	1.76517e+06
8.761	1	1	1	1.76517e+06
8.801	1	1	1	1.76517e+06
8.841	1	1	1	1.76517e+06
8.881	1	1	1	1.76517e+06
8.921	1	1	1	1.76517e+06
8.961	1	1	1	1.76517e+06
9.001	1	1	1	1.76517e+06
9.041	1	1	1	1.76517e+06
9.081	1	1	1	1.76517e+06
9.121	1	1	1	1.76517e+06
9.161	1	1	1	1.76517e+06
9.201	1	1	1	1.76517e+06
9.241	1	1	1	1.76517e+06
9.281	1	1	1	1.76517e+06
9.321	1	1	1	1.76517e+06
9.361	1	1	1	1.76517e+06
9.401	1	1	1	1.76517e+06
9.441	1	1	1	1.76517e+06
9.481	1	1	1	1.76517e+06
9.521	1	1	1	1.76517e+06
9.561	1	1	1	1.76517e+06
9.601	1	1	1	1.76517e+06
9.641	1	1	1	1.76517e+06
9.681	1	1	1	1.76517e+06
9.721	1	1	1	1.76517e+06
9.761	1	1	1	1.76517e+06
9.801	1	1	1	1.76517e+06
9.841	1	1	1	1.76517e+06
9.881	1	1	1	1.76517e+06
9.921	1	1	1	1.76517e+06
9.961	1	1	1	1.76517e+06
